"content","sentiment","spam"
"sẽ không quay lại","2","0"
"đắt kinh","2","0"
"k có gì đặc biệt","2","0"
"k quay lại","2","0"
"phục vụ chán","2","0"
"@huenguyendanggiamcan phạm văn đồng nè","0","1"
"@haiz đây nè","0","1"
"@TriLan ơ nhiều thế nhỉ","0","1"
"@phuong_anh_092 chủ nhật c ơi","0","1"
"@Beoiu???? kìa!","0","1"
"@thuhien_ig đi thôi","0","1"
"@Nguyễn Thị Thu Hà hay hôm bê cháp xog r mk lượn nhể","0","1"
"@????️. cta nên trah thủ đi","0","1"
"@phuong_anh_092 chủ nhật c ơi","0","1"
"@phuong linh free kem mí bánh đxu ????","0","1"
"@TriLan ơ nhiều thế nhỉ","0","1"
"@haiz đây nè","0","1"
"@huenguyendanggiamcan phạm văn đồng nè","0","1"
"@thuhien_ig đi thôi","0","1"
"@Beoiu???? kìa!","0","1"
"@Bon thật sự lướt toàn ăn nướng niu ạ","0","1"
"@__lshcx_ đi:)))","0","1"
"@Thịnh Péoo vaizz????","0","1"
"@???? anh ơiii","0","1"
"@Nguyễn Trang ăn lấy sức đau răng đi em","0","1"
"@Planh012 ơ quán hôm trc mình ăn này","0","1"
"@Kem ???? làm bữa cho hệ tiêu hoá hoạt động nhạy khum","0","1"
"@Thu Hà Nguyễn sao mình ăn nó lạ lắm nhỉ????","0","1"
"@Phan Ngọc Đại vậy ma trc k bt hiccc","0","1"
"@Thanh Mạc alooo","0","1"
"@Nhi Yến lưu lại điu nè","0","1"
"@HG!! Lưu lại ăn tất niên ????","0","1"
"@Vũ Tuân có tôm","0","1"
"@Chung    Nguyn????????  lưu đi anh","0","1"
"@Lemm_00 ơ ơ","0","1"
"@Huyen_Trang thẩm nó ????????????","0","1"
"@Nguyễn Ngọc Tùng ???? vài tháng nữa","0","1"
"@Nguyễn Thị Thủy khi mô nghỉ ta đi","0","1"
"@Vũ Hải Tuyền836 kbt bh mí dc ny dẫn đi","0","1"
"@Khánh Linh lưu lại rùiiiu đii ăn","0","1"
"@dinhthikhanhvan @Chung đen đi","0","1"
"@Diệp Thảo mấy quán buk đều ok thì phải????","0","1"
"@❤️kìa","0","1"
"@Tram Anh thèm m ơi","0","1"
"@Thanh Lâm hmmm đồ nướng nè","0","1"
"@Đạt neee giờ chỉ còn mỗi cs 2 nè","0","1"
"@Thuý Quỳnh giàu rồi đi","0","1"
"@Thu ha đi ăn nướg thử hôm","0","1"
"@Con cho sua gau gau cứ quẹo thử ăn coi như nào a ????????","0","1"
"@???? hay đổi nón đi ăn cnay","0","1"
"@Kiên Nguyễn chết thèm","0","1"
"@PAa gần lắm nọ đi jollibe tô hiệu rồi","0","1"
"@Thùy Dương @nguyenluong09102003 e hèm trời lạnh rùiiii. Quá hợp lí????","0","1"
"@LêAnhĐức????‍???? cũm đc","0","1"
"@ph.nganhh19 quay lại nx ko","0","1"
"@Foxie chuẩn bài r","0","1"
"@Hoàng Phúc Yên e muốn đi ăn này nàyy","0","1"
"@???????????????? ????  như nào nhể","0","1"
"@Gia Linh đọc cmt","0","1"
"@Híu đợi b bao","0","1"
"@Đào Quang Tiến","0","1"
"@lê mạnh khang ????????????","0","1"
"@Thủy Trần","0","1"
"@Hường xịn xịn nè lên đồ thôi","0","1"
"@thuhuong ???? chỗ mịn","0","1"
"@hiptrn056 m10 nhận lương lại ra quán quen đê","0","1"
"@NND_T1 @LiLy LiLy","0","1"
"@Công Đạt Hoàng","0","1"
"@Nata","0","1"
"@✅CẬU ÚT","0","1"
"Đi thui @Ngọc Diệp","0","1"
"@Trung Tran đi ănn","0","1"
"@Khang_khang hồi nào đi ăn đây","0","1"
"@Điệp Đỗ","0","1"
"@_nhiiiiii_","0","1"
"@Bắp","0","1"
"@Tiên Tiên","0","1"
"@babyshin0","0","1"
"@Qyn Qyn","0","1"
"@bearlikesgame","0","1"
"@pook","0","1"
"@_nhiiiiii_ quán ngon","0","1"
"@mit65701 ngon quá nè đi ăn","0","1"
"@Đoàn Thanh Ngân ở quận 7 sao nó khác quá dạ????","0","1"
"@Alvintastic21 ê sao mình ăn ở cơ sở khác ko có mấy món ở quầy line vs k có mì nhỉ :)))))","0","1"
"@Phạm Anh Tài thân phận người nghèo.????","0","1"
"@????????????  sao nó lạ quá v :)","0","1"
"@Đan Trườngg alooo chồng ơi ????","0","1"
"@熟娟•Shú Juān♈️@Trang Ly rất lạ","0","1"
"@_ntyn.ttamm ủa????","0","1"
"@Hami???? thèm????","0","1"
"@Nguyễn Việt Hoàng đay lèe thèm vaii","0","1"
"@trinhpham nhiều quá o biết ăn chỗ nào lun","0","1"
"@Tú Anh aiuuuu","0","1"
"@???? thèm lại huhu","0","1"
"@mt thèm rui","0","1"
"@Huỳnh Giao anni đi cái này thay cái kia đi","0","1"
